# authors=Abraxas1010 (IAOM / Apoth3osis); The Institute for Ontological Mathematics / Equation Capital dba Apoth3osis
# generated_by=scripts/small-step-coverage.py
# instruction_source_sha256=4cb0ec52705959906122b09d88414bfa05a81b1776eb3be3a5392e23e773543b
instruction,decoder,old_semantics,step_relation,step_function,soundness,completeness,determinism,invariant_preservation,old_new_refinement,examples,testsuite,differential_seed,milestone,notes
localGet,present,present,migrated,migrated,proved_global,proved_global,proved_global,proved_global,proved_global,small_step_examples,baseline_not_attributed,not_attributed,M2_pure_core,initial observation-labelled slice
localSet,present,present,migrated,migrated,proved_global,proved_global,proved_global,proved_global,proved_global,small_step_examples,baseline_not_attributed,not_attributed,M2_pure_core,initial observation-labelled slice
const,present,present,migrated,migrated,proved_global,proved_global,proved_global,proved_global,proved_global,small_step_examples,baseline_not_attributed,not_attributed,M2_pure_core,initial observation-labelled slice
constI64,present,present,migrated,migrated,proved_global,proved_global,proved_global,proved_global,proved_global,small_step_examples,baseline_not_attributed,not_attributed,M2_pure_core,initial observation-labelled slice
globalGet,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
globalSet,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
add,present,present,migrated,migrated,proved_global,proved_global,proved_global,proved_global,proved_global,small_step_examples,baseline_not_attributed,not_attributed,M2_pure_core,initial observation-labelled slice
sub,present,present,migrated,migrated,proved_global,proved_global,proved_global,proved_global,proved_global,small_step_examples,baseline_not_attributed,not_attributed,M2_pure_core,initial observation-labelled slice
mul,present,present,migrated,migrated,proved_global,proved_global,proved_global,proved_global,proved_global,small_step_examples,baseline_not_attributed,not_attributed,M2_pure_core,initial observation-labelled slice
divU,present,present,migrated,migrated,proved_global,proved_global,proved_global,proved_global,proved_global,small_step_examples,baseline_not_attributed,not_attributed,M2_pure_core,initial observation-labelled slice
divS,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
remU,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,existing_big_step,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
remS,present,present,not_started,not_started,not_started,not_started,not_started,not_started,not_started,not_found,baseline_not_attributed,not_attributed,future_milestone,no small-step claim
